i,16,carrot,Q. What is orange and sounds like a parrot?    A. A carrot.
i,18,bow wow,"A dog walks into Western Union and asks the clerk to send a telegram. He fills out a form on which he writes down the telegram he wishes to send: ""Bow wow wow‚ Bow wow wow.""  The clerk says‚ ""You can add another 'Bow wow' for the same price.""  The dog responded‚ ""Now wouldn't that sound a little silly?"""
i,19,unilingual,"Q: If a person who speaks three languages is called ""tri-lingual‚"" and a person who speaks two languages is called ""bi-lingual‚"" what do call a person who only speaks one language?  A: American!"
i,23,boomerang,Q: What is the Australian word for a boomerang that won't    come back?   A: A stick
i,24,lawnmower,What do you get when you run over a parakeet with a lawnmower?  Shredded tweet.
i,28,microsoft,"A mechanical‚ electrical and a software engineer from Microsoft were driving through the desert when the car broke down. The mechanical engineer said ""It seems to be a problem with the fuel injection system‚ why don't we pop the hood and I'll take a look at it."" To which the electrical engineer replied‚ ""No I think it's just a loose ground wire‚ I'll get out and take a look."" Then‚ the Microsoft engineer jumps in. ""No‚ no‚ no. If we just close up all the windows‚ get out‚ wait a few minutes‚ get back in‚ and then reopen the windows everything will work fine."""
i,30,plumber,Q: What's the difference between a Lawyer and a Plumber?  A: A Plumber works to unclog the system.
i,33,soccer,"What do you call an American in the finals of the world cup?  ""Hey Beer Man!"""
i,36,polish joke,"A guy walks into a bar‚ orders a beer and says to the bartender‚ ""Hey‚ I got this great Polish Joke...""   The barkeep glares at him and says in a warning tone of voice: ""Before you go telling that joke you better know that I'm Polish‚ both bouncers are Polish and so are most of my customers""  ""Okay"" says the customer‚""I'll tell it very slowly."""
i,38,chickens,"""May I take your order?"" the waiter asked.   ""Yes‚ how do you prepare your chickens?""   ""Nothing special sir‚"" he replied. ""We just tell them straight out that they're going to die."""
i,44,horse in a bar,"A horse walks into a bar. Bartender says: ""So‚ why the long face?"""
i,47,engineer,"There was an engineer who had an exceptional gift for fixing all  things mechanical.  After serving his company loyally for over 30  years‚ he happily retired.  Several years later the company contacted  him regarding a seemingly impossible problem they were having with  one of their multi-million dollar machines. They had tried everything and  everyone else to get the machine fixed‚ but to no avail.  In  desperation‚ they called on the retired engineer who had solved so  many of their problems in the past. The engineer reluctantly took the challenge.  He spent a day studying  the huge machine.  At the end of the day‚ he marked a small ""x"" in  chalk on a particular component of the machine and proudly stated‚  ""This is where your problem is"". The part was replaced and the machine worked perfectly again. The  company received a bill for $50‚000 from the engineer for his  service.They demanded an itemized accounting of his charges. The  engineer responded briefly: One chalk mark                       $1  Knowing where to put it            $49‚999 It was paid in full and the engineer retired again in peace."
i,53,william,"One Sunday morning William burst into the living room and said‚ ""Dad! Mom! I have some great news for you! I am getting married to the most beautiful girl in town. She lives a block away and her name is Susan."" After dinner‚ William's dad took him aside. ""Son‚ I have to talk with you. Your mother and I have been married 30 years.. She's a wonderful wife but she has never offered much excitement in the bedroom‚ so I used to fool around with women a lot. Susan is actually your half-sister‚ and I'm afraid you can't marry her."" William was heart-broken. After eight months he eventually started dating girls again. A year later he came home and very proudly announced‚ ""Dianne said yes! We're getting married in June."" Again his father insisted on another private conversation and broke the sad news. ""Dianne is your half-sister too‚ William. I'm awfully sorry about this."" William was furious! He finally decided to go to his mother with the news. ""Dad has done so much harm.. I guess I'm never going to get married‚""  he complained. ""Every time I fall in love‚ Dad tells me the girl is my half-sister."" His mother just shook her head. ""Don't pay any attention to what he says‚ dear. He's not really your father."""
i,55,twins,"A woman has twins‚ and gives them up for adoption.  One of them goes to a family in Egypt and is named ""Amal.""  The other goes to a  family in Spain; they name him ""Juan.""  Years later‚ Juan sends a picture of himself to his mom.  Upon receiving the picture‚ she tells her husband that she wishes she also had a picture of Amal.   Her husband responds‚ ""But they are twins-if you've seen Juan‚ you've seen   Amal."
i,57,phone book,Why are there so many Jones's in the phone book? Because they all have phones.
i,58,teddy bears,How many teddybears does it take to change a lightbulb?  It takes only one teddybear‚ but it takes a whole lot of lightbulbs.
i,60,hot dog,What did the Buddhist say to the hot dog vendor? Make me one with everything.
i,62,flagpole,"A group of  managers were given the assignment to measure the height of a flagpole. So they go out to the flagpole with ladders and tape measures‚ and they're falling off the ladders‚ dropping the tape measures - the whole thing is just a mess. An engineer comes along and sees what they're trying to do‚ walks over‚ pulls the flagpole out of the ground‚ lays it flat‚ measures it from end to end‚ gives the measurement to one of the managers and walks away. After the engineer has gone‚ one manager turns to another and laughs. ""Isn't that just like an engineer‚ we're looking for the  height and he gives us the length."""
i,63,fire,"An engineer‚ a physicist and a mathematician are sleeping in a room. There is a fire in the room. The engineer wakes up‚ sees the fire‚ picks up the bucket of water and douses the fire and goes back to sleep.   Again there is fire in the room. This time‚ the physicist wakes up‚ notices the bucket‚ fills it with water‚ calculates the optimal trajectory and douses the fire in minimum amount of water and goes back to sleep.   Again there is fire. This time the mathematician wakes up.  He looks at the fire‚ looks at the bucket and the water and exclaims‚ ""A solution exists"" and goes back to sleep."
i,66,bmw,"A lawyer opened the door of his BMW‚ when suddenly a car came along and hit the door‚ ripping it off completely.  When the police arrived at the scene‚ the lawyer was complaining bitterly about the damage to his precious BMW.   ""Officer‚ look what they've done to my Beeeeemer!!!""‚ he whined.   ""You lawyers are so materialistic‚ you make me sick!!!""  retorted the officer.  ""You're so worried about your stupid BMW‚ that you didn't even notice that your left arm was ripped off!!!""   ""Oh my gaaaad...""‚ replied the lawyer‚ finally noticing the bloody left shoulder where his arm once was.  ""Where's my Rolex???!!!!"""
i,67,brooms,"Once upon a time‚ two brooms fell in love and decided to get married. Before the ceremony‚ the bride broom informed the groom broom that  she was expecting a little whiskbroom. The groom broom was aghast!  ""How is this possible?"" he asked. ""We've never swept together!"
i,68,balloon IT,"A man piloting a hot air balloon discovers he has wandered off course and is hopelessly lost. He descends to a lower altitude and locates a man down on the ground. He lowers the balloon further and shouts ""Excuse me‚ can you tell me where I am?""  The man below says: ""Yes‚ you're in a hot air balloon‚ about 30 feet above this field.""  ""You must work in Information Technology‚"" says the balloonist.  ""Yes I do‚"" replies the man. ""And how did you know that?""  ""Well‚"" says the balloonist‚ ""what you told me is technically correct‚ but of no use to anyone.""  The man below says‚ ""You must work in management.""  ""I do‚"" replies the balloonist‚ ""how did you know?""  ""Well‚"" says the man‚ ""you don't know where you are‚ or where you're going‚ but you expect my immediate help. You're in the same position you were before we met‚ but now it's my fault!"""
i,70,responsible,"Employer to applicant: ""In this job we need someone who is responsible.""  Applicant: ""I'm the one you want. On my last job‚ every time anything went wrong‚ they said I was responsible."""
